"mirtarbase","wptargets"
"hsa-miR-548am-3p","WP100, WP107, WP117, WP127, WP138, WP1424, WP143, WP1449, WP15, WP1530, WP1531, WP1539, WP1545, WP1591, WP170, WP179, WP183, WP185, WP1946, WP195, WP1971, WP1982, WP1984, WP1991, WP2012, WP2018, WP2029, WP2032, WP2034, WP2037, WP205, WP2059, WP2064, WP2118, WP22, WP2203, WP2253, WP2261, WP2267, WP2289, WP2290, WP23, WP231, WP2328, WP2332, WP2359, WP236, WP2369, WP2374, WP2377, WP2380, WP24, WP2406, 
WP2431, WP244, WP2446, WP2525, WP2526, WP254, WP2572, WP2586, WP2637, WP2643, WP268, WP2795, WP2805, WP2853, WP2854, WP2857, WP2858, WP286, WP2864, WP2870, WP2873, WP2881, WP2884, WP289, WP2916, WP299, WP304, WP306, WP313, WP314, WP322, WP3286, WP3298, WP3300, WP3302, WP3303, WP34, WP35, WP3527, WP357, WP3584, WP3594, WP3595, WP3611, WP3613, WP3614, WP3617, WP3624, WP364, WP3640, WP3646, WP3651, 
WP366, WP3668, WP3676, WP3678, WP368, WP3680, WP382, WP383, WP384, WP3844, WP3849, WP3859, WP3863, WP3865, WP3879, WP3888, WP3915, WP3925, WP3927, WP3929, WP3931, WP3932, WP3938, WP3940, WP3941, WP3942, WP395, WP399, WP400, WP405, WP408, WP410, WP411, WP422, WP428, WP430, WP437, WP45, WP455, WP47, WP474, WP477, WP481, WP49, WP500, WP51, WP53, WP534, WP536, WP558, WP560, WP581, WP585, WP61, 
WP615, WP673, WP69, WP692, WP698, WP702, WP706, WP707, WP710, WP712, WP716, WP732"
"hsa-miR-548am-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548an","WP107, WP111, WP127, WP138, WP1422, WP1449, WP1528, WP1530, WP1544, WP1545, WP1601, WP179, WP185, WP1971, WP1984, WP2034, WP2037, WP205, WP2059, WP2197, WP2253, WP2261, WP23, WP231, WP2328, WP2361, WP2363, WP2374, WP2377, WP2380, WP2431, WP244, WP2446, WP2516, WP2525, WP2526, WP2542, WP2583, WP2586, WP26, WP2636, WP2643, WP2795, WP2828, WP2853, WP2857, WP2858, WP286, WP2873, WP2878, WP2881, WP289, 
WP2911, WP304, WP306, WP313, WP3286, WP3287, WP3298, WP3303, WP35, WP3529, WP3584, WP3594, WP3611, WP3617, WP363, WP364, WP3646, WP3651, WP3658, WP366, WP3676, WP3680, WP382, WP3863, WP3876, WP3878, WP3888, WP3915, WP3929, WP3931, WP3932, WP3939, WP395, WP3959, WP399, WP400, WP405, WP428, WP43, WP437, WP45, WP453, WP455, WP465, WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP536, WP581, WP61, 
WP615, WP623, WP673, WP69, WP691, WP696, WP697, WP702, WP707, WP710, WP75, WP80"
"hsa-miR-548ao-3p","WP111, WP1422, WP1772, WP2858, WP306, WP3584, WP3585, WP3624, WP3932, WP399, WP428, WP500, WP706, WP710"
"hsa-miR-548ao-5p","WP111, WP127, WP1425, WP15, WP1533, WP1591, WP176, WP183, WP2032, WP2038, WP2261, WP2328, WP2333, WP2377, WP241, WP2431, WP2446, WP2525, WP2572, WP26, WP2853, WP2854, WP2857, WP2858, WP2916, WP3286, WP3303, WP3414, WP3584, WP3624, WP366, WP382, WP3878, WP3932, WP3938, WP3940, WP3941, WP400, WP437, WP455, WP51, WP560, WP619, WP623, WP702, WP710"
"hsa-miR-548ap-3p","WP107, WP111, WP127, WP15, WP1530, WP1533, WP1539, WP1591, WP1601, WP170, WP176, WP179, WP185, WP195, WP1971, WP1984, WP2034, WP2037, WP2038, WP2059, WP2118, WP2203, WP2253, WP2272, WP2290, WP23, WP2332, WP236, WP2369, WP2374, WP2377, WP2380, WP2406, WP2431, WP244, WP2446, WP2453, WP2516, WP2525, WP2526, WP2572, WP2583, WP2636, WP28, WP2848, WP2853, WP2857, WP2858, WP286, WP2864, WP2866, WP2878, 
WP2881, WP289, WP2895, WP304, WP306, WP313, WP314, WP3297, WP3302, WP3303, WP35, WP3527, WP3529, WP3594, WP3595, WP364, WP3646, WP3651, WP366, WP3664, WP3674, WP3680, WP3850, WP3878, WP3888, WP3915, WP3925, WP3929, WP3931, WP3932, WP3940, WP3941, WP3942, WP3943, WP3945, WP3946, WP395, WP399, WP400, WP405, WP408, WP410, WP411, WP428, WP437, WP45, WP455, WP466, WP481, WP49, WP500, WP51, WP524, 
WP534, WP536, WP560, WP585, WP615, WP619, WP69, WP702, WP704, WP706, WP707, WP710"
"hsa-miR-548ap-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548aq-3p","WP100, WP107, WP117, WP127, WP138, WP1424, WP143, WP1449, WP15, WP1530, WP1531, WP1539, WP1545, WP1591, WP170, WP179, WP183, WP185, WP1946, WP195, WP1971, WP1982, WP1984, WP1991, WP2012, WP2018, WP2029, WP2032, WP2034, WP2037, WP205, WP2059, WP2064, WP2118, WP22, WP2203, WP2253, WP2261, WP2267, WP2289, WP2290, WP23, WP231, WP2328, WP2332, WP2359, WP236, WP2369, WP2374, WP2377, WP2380, WP24, WP2406, 
WP2431, WP244, WP2446, WP2525, WP2526, WP254, WP2572, WP2586, WP2637, WP2643, WP268, WP2795, WP2805, WP2853, WP2854, WP2857, WP2858, WP286, WP2864, WP2870, WP2873, WP2881, WP2884, WP289, WP2916, WP299, WP304, WP306, WP313, WP314, WP322, WP3286, WP3298, WP3300, WP3302, WP3303, WP34, WP35, WP3527, WP357, WP3584, WP3594, WP3595, WP3611, WP3613, WP3614, WP3617, WP3624, WP364, WP3640, WP3646, WP3651, 
WP366, WP3668, WP3676, WP3678, WP368, WP3680, WP382, WP383, WP384, WP3844, WP3849, WP3859, WP3863, WP3865, WP3879, WP3888, WP3915, WP3925, WP3927, WP3929, WP3931, WP3932, WP3938, WP3940, WP3941, WP3942, WP395, WP399, WP400, WP405, WP408, WP410, WP411, WP422, WP428, WP430, WP437, WP45, WP455, WP47, WP474, WP477, WP481, WP49, WP500, WP51, WP53, WP534, WP536, WP558, WP560, WP581, WP585, WP61, 
WP615, WP673, WP69, WP692, WP698, WP702, WP706, WP707, WP710, WP712, WP716, WP732"
"hsa-miR-548aq-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548ar-3p","WP127, WP1403, WP1422, WP1424, WP1449, WP1471, WP1528, WP1544, WP176, WP1772, WP1982, WP1984, WP2029, WP2037, WP2059, WP2118, WP2197, WP2261, WP2272, WP23, WP2328, WP236, WP2377, WP2380, WP241, WP2431, WP2453, WP2525, WP2533, WP2572, WP2583, WP2636, WP2795, WP2848, WP2853, WP2857, WP2858, WP2864, WP2881, WP289, WP306, WP3286, WP3298, WP3302, WP3303, WP34, WP35, WP3527, WP357, WP3594, WP3614, WP3624, 
WP3651, WP366, WP3676, WP3678, WP368, WP3680, WP3844, WP3850, WP3863, WP3865, WP3872, WP3888, WP3915, WP3925, WP3929, WP3931, WP3932, WP3935, WP3937, WP3940, WP3942, WP399, WP404, WP410, WP411, WP428, WP43, WP437, WP47, WP474, WP477, WP481, WP500, WP51, WP524, WP534, WP536, WP560, WP581, WP615, WP673, WP69, WP702, WP710, WP75"
"hsa-miR-548ar-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548as-3p","WP107, WP111, WP117, WP127, WP138, WP1403, WP15, WP1530, WP1533, WP1539, WP1544, WP1559, WP1584, WP1601, WP176, WP179, WP1946, WP1971, WP1984, WP1991, WP2032, WP2034, WP2037, WP2038, WP2059, WP2112, WP2118, WP2203, WP2261, WP2272, WP2290, WP23, WP2324, WP2332, WP2359, WP236, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2447, WP2516, WP2525, WP254, WP2583, WP2586, WP2636, WP2853, WP2857, 
WP2858, WP286, WP2878, WP2884, WP289, WP304, WP306, WP313, WP3286, WP3297, WP34, WP3414, WP3594, WP3599, WP3613, WP3634, WP3635, WP364, WP3645, WP3646, WP3651, WP3657, WP366, WP3680, WP382, WP3844, WP3850, WP3878, WP3888, WP3915, WP3929, WP3931, WP3932, WP3935, WP3940, WP3941, WP3943, WP3945, WP3946, WP395, WP399, WP400, WP404, WP405, WP408, WP410, WP411, WP428, WP437, WP45, WP455, WP466, WP474, 
WP481, WP51, WP524, WP534, WP536, WP581, WP61, WP615, WP619, WP623, WP692, WP702, WP704, WP707, WP710, WP733"
"hsa-miR-548as-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548at-3p","WP111, WP1530, WP1539, WP179, WP1971, WP2037, WP2038, WP2118, WP2272, WP2290, WP2406, WP2431, WP2446, WP2516, WP2525, WP2583, WP2636, WP2848, WP2853, WP2858, WP2878, WP289, WP306, WP3297, WP3594, WP364, WP3646, WP366, WP3878, WP3888, WP3915, WP3932, WP3940, WP3941, WP3943, WP3945, WP3946, WP400, WP405, WP410, WP411, WP45, WP466, WP481, WP51, WP524, WP560, WP615, WP698, WP704, WP706, WP707"
"hsa-miR-548at-5p","WP111, WP129, WP138, WP1433, WP15, WP1530, WP1544, WP1591, WP1742, WP1772, WP179, WP185, WP1946, WP1971, WP1982, WP1984, WP1992, WP2011, WP2032, WP2037, WP2038, WP2064, WP2118, WP2261, WP2272, WP236, WP2361, WP2377, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, WP2643, WP2828, WP2857, WP286, WP289, WP2916, WP306, WP313, WP3286, WP3298, WP3303, WP3407, WP3594, WP3614, WP3630, WP3644, WP3645, WP366, 
WP3670, WP382, WP3850, WP3865, WP3878, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3940, WP3942, WP3959, WP400, WP405, WP411, WP45, WP465, WP474, WP477, WP481, WP51, WP524, WP531, WP534, WP536, WP615, WP673, WP702, WP704, WP706, WP707, WP710"
"hsa-miR-548au-3p","WP127, WP138, WP1425, WP1449, WP1471, WP1530, WP1545, WP1584, WP1591, WP1742, WP179, WP183, WP195, WP1971, WP1982, WP1984, WP2018, WP2032, WP2036, WP2037, WP205, WP2064, WP2112, WP2203, WP2249, WP2261, WP2272, WP23, WP231, WP2359, WP236, WP2363, WP2371, WP2377, WP2431, WP2446, WP2516, WP254, WP2572, WP2586, WP262, WP2637, WP2795, WP2828, WP2853, WP2857, WP2858, WP2870, WP2878, WP288, WP2916, WP314, 
WP3303, WP3594, WP363, WP364, WP3640, WP3646, WP3651, WP3657, WP366, WP3668, WP3680, WP382, WP3851, WP3859, WP3863, WP3865, WP3872, WP3874, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP399, WP400, WP410, WP411, WP428, WP45, WP481, WP49, WP536, WP560, WP61, WP615, WP673, WP69, WP707, WP710, WP75"
"hsa-miR-548au-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548av-3p","WP127, WP134, WP138, WP179, WP1971, WP1982, WP1984, WP1992, WP2032, WP2034, WP2038, WP2249, WP2261, WP23, WP231, WP2324, WP2369, WP2377, WP2380, WP2431, WP2436, WP2446, WP2533, WP2583, WP268, WP2853, WP2857, WP2870, WP2884, WP304, WP306, WP313, WP3286, WP3414, WP35, WP3527, WP3594, WP3630, WP3640, WP3651, WP3657, WP366, WP3668, WP3674, WP3680, WP3844, WP3850, WP3859, WP3865, WP3874, WP3888, WP3915, 
WP3929, WP3931, WP3932, WP3941, WP399, WP404, WP405, WP411, WP437, WP45, WP477, WP481, WP49, WP500, WP51, WP524, WP560, WP61, WP615, WP710"
"hsa-miR-548av-5p","WP111, WP127, WP136, WP138, WP1433, WP1434, WP1449, WP1528, WP1530, WP1544, WP1545, WP176, WP1772, WP179, WP185, WP195, WP1971, WP1982, WP1984, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2249, WP2261, WP2272, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP241, WP2431, WP244, WP2446, WP2525, WP2526, WP254, WP2572, WP2586, 
WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2911, WP304, WP306, WP313, WP3286, WP3303, WP3527, WP3594, WP3611, WP3613, WP3617, WP3624, WP363, WP364, WP3646, WP3658, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3879, WP3888, WP3915, WP3925, WP3927, WP3929, WP3931, WP3932, WP3933, WP3940, WP3959, WP399, WP404, 
WP405, WP411, WP422, WP428, WP43, WP437, WP438, WP45, WP453, WP474, WP481, WP49, WP497, WP51, WP536, WP560, WP581, WP61, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP710, WP712, WP732, WP734, WP75"
"hsa-miR-548aw","WP107, WP111, WP12, WP138, WP1403, WP1425, WP1433, WP1449, WP1471, WP15, WP1528, WP1530, WP1533, WP1539, WP1544, WP1584, WP1591, WP1601, WP167, WP170, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1982, WP1984, WP1991, WP1992, WP2011, WP2012, WP2018, WP2032, WP2034, WP2035, WP2036, WP2037, WP2038, WP2059, WP2118, WP2197, WP2203, WP2261, WP2272, WP23, WP231, WP2324, WP2328, WP2332, WP2338, 
WP2355, WP2359, WP236, WP2369, WP2371, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2436, WP244, WP2446, WP2447, WP2513, WP2516, WP2525, WP2526, WP2583, WP262, WP2636, WP2637, WP2643, WP2795, WP28, WP2805, WP2846, WP2848, WP2853, WP2857, WP2858, WP286, WP2870, WP288, WP2884, WP289, WP2943, WP3, WP304, WP306, WP313, WP314, WP3297, WP3298, WP3303, WP334, WP34, WP3408, WP35, WP3527, WP3529, WP3584, 
WP3594, WP3599, WP3601, WP3611, WP3612, WP3613, WP3617, WP3624, WP363, WP3646, WP3651, WP3657, WP3658, WP366, WP3668, WP3676, WP3680, WP382, WP3844, WP3850, WP3858, WP3859, WP3863, WP3865, WP3874, WP3878, WP3888, WP3893, WP3915, WP3927, WP3929, WP3931, WP3932, WP3939, WP3944, WP3945, WP3946, WP3947, WP395, WP3959, WP399, WP400, WP404, WP408, WP410, WP411, WP422, WP428, WP43, WP430, WP437, WP45, 
WP474, WP477, WP481, WP49, WP500, WP51, WP524, WP536, WP560, WP585, WP615, WP673, WP69, WP699, WP702, WP706, WP707, WP710, WP712, WP727, WP75"
"hsa-miR-548ax","WP111, WP127, WP1425, WP15, WP1533, WP1591, WP176, WP183, WP2032, WP2038, WP2261, WP2328, WP2333, WP2377, WP241, WP2431, WP2446, WP2525, WP2572, WP26, WP2853, WP2854, WP2857, WP2858, WP2916, WP3286, WP3303, WP3414, WP3584, WP3624, WP366, WP382, WP3878, WP3932, WP3938, WP3940, WP3941, WP400, WP437, WP455, WP51, WP560, WP619, WP623, WP702, WP710"
"hsa-miR-548ay-3p","WP111, WP1530, WP1539, WP179, WP1971, WP2037, WP2038, WP2118, WP2272, WP2290, WP2406, WP2431, WP2446, WP2516, WP2525, WP2583, WP2636, WP2848, WP2853, WP2858, WP2878, WP289, WP306, WP3297, WP3594, WP364, WP3646, WP366, WP3878, WP3888, WP3915, WP3932, WP3940, WP3941, WP3943, WP3945, WP3946, WP400, WP405, WP410, WP411, WP45, WP466, WP481, WP51, WP524, WP560, WP615, WP698, WP704, WP706, WP707"
"hsa-miR-548ay-5p","WP111, WP117, WP127, WP136, WP1403, WP1433, WP1434, WP1449, WP1471, WP1528, WP1530, WP1544, WP176, WP1772, WP179, WP183, WP185, WP195, WP1971, WP1984, WP1992, WP2018, WP2032, WP2034, WP2037, WP2038, WP205, WP2118, WP2197, WP22, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2363, WP2369, WP2374, WP2377, WP2380, WP2406, WP241, WP2431, WP2446, WP2516, WP2525, WP2526, WP254, WP2572, 
WP2586, WP262, WP2636, WP2637, WP2643, WP2795, WP2828, WP2848, WP2853, WP2857, WP2858, WP286, WP2873, WP2875, WP2878, WP2884, WP289, WP2895, WP2916, WP304, WP306, WP313, WP314, WP3286, WP3303, WP34, WP3527, WP3594, WP3595, WP3611, WP364, WP3651, WP366, WP3676, WP3680, WP382, WP383, WP3863, WP3876, WP3878, WP3879, WP3888, WP3915, WP3927, WP3929, WP3931, WP3932, WP3933, WP3938, WP3940, WP3941, WP3959, 
WP399, WP400, WP404, WP405, WP410, WP411, WP422, WP43, WP437, WP438, WP45, WP455, WP474, WP481, WP49, WP501, WP51, WP536, WP560, WP581, WP615, WP623, WP673, WP69, WP702, WP706, WP707, WP712, WP732, WP734, WP75"
"hsa-miR-548az-3p","WP127, WP1403, WP1422, WP1424, WP1449, WP1471, WP1528, WP1544, WP176, WP1772, WP1982, WP1984, WP2029, WP2034, WP2037, WP2038, WP2059, WP2118, WP2197, WP2261, WP2272, WP23, WP2328, WP236, WP2377, WP2380, WP241, WP2431, WP2453, WP2525, WP2533, WP2572, WP2583, WP2636, WP2795, WP2848, WP2853, WP2857, WP2858, WP2864, WP2881, WP289, WP306, WP3286, WP3298, WP3302, WP3303, WP34, WP35, WP3527, WP357, WP3594, 
WP3614, WP3624, WP3651, WP366, WP3676, WP3678, WP368, WP3680, WP3844, WP3850, WP3863, WP3865, WP3872, WP3888, WP3915, WP3925, WP3929, WP3931, WP3932, WP3935, WP3937, WP3940, WP3942, WP399, WP404, WP410, WP411, WP428, WP43, WP437, WP47, WP474, WP477, WP481, WP500, WP51, WP524, WP534, WP536, WP560, WP581, WP615, WP673, WP69, WP702, WP710, WP75"
"hsa-miR-548az-5p","WP107, WP117, WP127, WP138, WP1403, WP1422, WP1423, WP1425, WP143, WP1471, WP1530, WP1544, WP1589, WP1591, WP170, WP179, WP185, WP1946, WP195, WP1971, WP1982, WP1984, WP1992, WP2012, WP2032, WP2034, WP2037, WP2038, WP2064, WP2112, WP2118, WP2249, WP2261, WP2272, WP23, WP231, WP2332, WP2338, WP236, WP2361, WP2363, WP2369, WP2374, WP2377, WP2380, WP2431, WP2446, WP2516, WP254, WP2572, WP2583, WP2643, 
WP28, WP2848, WP2853, WP2854, WP2855, WP2857, WP2858, WP2870, WP2884, WP289, WP2895, WP2916, WP3, WP304, WP306, WP313, WP325, WP3298, WP3303, WP34, WP3414, WP35, WP3527, WP357, WP3594, WP3595, WP3596, WP3599, WP3613, WP3614, WP3617, WP3624, WP363, WP364, WP3646, WP3651, WP3657, WP3658, WP366, WP3664, WP3668, WP3674, WP368, WP3680, WP382, WP3844, WP3850, WP3858, WP3859, WP3874, WP3888, WP3892, WP3893, 
WP3915, WP3927, WP3930, WP3931, WP3932, WP3933, WP3938, WP3939, WP3942, WP3946, WP395, WP399, WP410, WP411, WP422, WP428, WP437, WP45, WP47, WP474, WP481, WP500, WP51, WP53, WP534, WP536, WP545, WP558, WP560, WP585, WP615, WP619, WP69, WP702, WP706, WP707, WP710"
"hsa-miR-548b-3p","WP111, WP1403, WP1449, WP1455, WP1530, WP1545, WP1742, WP179, WP1946, WP195, WP1984, WP2038, WP2261, WP2272, WP2290, WP231, WP2328, WP2377, WP2380, WP2436, WP2446, WP2516, WP2583, WP2586, WP2643, WP2853, WP2857, WP2864, WP2870, WP289, WP3303, WP35, WP3584, WP3585, WP3614, WP3640, WP3676, WP382, WP3844, WP3888, WP3915, WP3929, WP3931, WP3932, WP3941, WP3959, WP399, WP400, WP410, WP422, WP437, WP45, 
WP481, WP500, WP51, WP534, WP536, WP558, WP673, WP706, WP707, WP710, WP727, WP732, WP75"
